WaferID: N5GM12.16 (Step 10 to Step 16)
     ,  BasisFunction1,  BasisFunction1,  (nFringes*1000),  (nFringes*1000),  Endpoint Time (sec),  Endpoint Time (sec),  Delay Time (sec),  Delay Time (sec),  Normalization Time (sec),  Normalization Time (sec), 
     ,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value,  Time (sec),  Value, 
 151,  15.100,  256195.64,  15.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 152,  15.200,  256330.19,  15.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 153,  15.300,  256222.27,  15.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 154,  15.400,  256300.27,  15.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 155,  15.500,  256276.91,  15.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 156,  15.600,  256015.00,  15.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 157,  15.700,  256122.73,  15.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 158,  15.800,  255814.27,  15.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 159,  15.900,  255442.55,  15.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 160,  16.000,  255351.81,  16.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 161,  16.100,  255314.00,  16.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 162,  16.200,  255230.19,  16.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 163,  16.300,  255315.27,  16.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 164,  16.400,  255155.09,  16.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 165,  16.500,  255130.64,  16.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 166,  16.600,  255118.64,  16.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 167,  16.700,  255095.81,  16.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 168,  16.800,  254802.81,  16.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 169,  16.900,  254944.55,  16.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 170,  17.000,  255139.19,  17.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 171,  17.100,  255150.91,  17.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 172,  17.200,  255147.27,  17.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 173,  17.300,  255159.73,  17.300,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 174,  17.400,  255135.00,  17.400,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 175,  17.500,  255398.64,  17.500,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 176,  17.600,  255456.73,  17.600,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 177,  17.700,  255285.27,  17.700,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 178,  17.800,  255345.81,  17.800,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 179,  17.900,  255215.55,  17.900,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 180,  18.000,  255110.09,  18.000,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 181,  18.100,  255170.36,  18.100,  0.000000e+000,   ,   ,   ,   ,   ,   , 
 182,  18.200,  255044.73,  18.200,  0.000000e+000,   ,   ,   ,   ,   ,   , 
